iter	Passed	Remaining
0	6	3704
1	10	3040
2	13	2722
3	17	2554
4	20	2491
5	24	2421
6	28	2415
7	33	2443
8	37	2460
9	41	2429
10	44	2388
11	48	2353
12	51	2321
13	54	2283
14	57	2246
15	60	2208
16	63	2174
17	66	2148
18	69	2122
19	72	2113
20	76	2102
21	79	2091
22	82	2080
23	86	2070
24	89	2063
25	93	2060
26	96	2044
27	99	2026
28	102	2010
29	105	1995
30	107	1980
31	110	1967
32	113	1954
33	116	1946
34	120	1947
35	124	1952
36	127	1942
37	131	1943
38	134	1931
39	137	1924
40	140	1917
41	143	1905
42	146	1895
43	149	1884
44	151	1874
45	154	1863
46	157	1854
47	160	1843
48	163	1833
49	165	1823
50	169	1821
51	174	1834
52	178	1842
53	182	1841
54	184	1832
55	188	1826
56	190	1818
57	193	1809
58	196	1800
59	199	1792
60	201	1784
61	205	1779
62	207	1771
63	210	1764
64	213	1756
65	216	1749
66	219	1742
67	221	1734
68	224	1726
69	227	1719
70	229	1712
71	232	1705
72	235	1698
73	237	1691
74	240	1684
75	243	1677
76	246	1672
77	248	1666
78	251	1659
79	254	1654
80	257	1649
81	260	1644
82	262	1638
83	265	1631
84	268	1626
85	271	1620
86	273	1615
87	276	1610
88	279	1604
89	282	1599
90	284	1593
91	287	1589
92	291	1589
93	294	1585
94	297	1580
95	300	1575
96	302	1570
97	305	1565
98	308	1560
99	311	1555
100	313	1551
101	316	1546
102	319	1541
103	322	1538
104	325	1533
105	328	1529
106	330	1524
107	333	1520
108	336	1516
109	339	1511
110	342	1506
111	344	1502
112	347	1497
113	350	1493
114	352	1488
115	355	1483
116	359	1485
117	364	1490
118	367	1487
119	371	1484
120	375	1484
121	379	1485
122	382	1481
123	384	1477
124	387	1473
125	390	1469
126	393	1465
127	396	1460
128	398	1456
129	401	1451
130	404	1447
131	407	1443
132	409	1438
133	413	1436
134	416	1432
135	419	1430
136	422	1428
137	427	1429
138	430	1426
139	432	1421
140	435	1417
141	438	1413
142	440	1408
143	443	1404
144	446	1400
145	449	1396
146	451	1392
147	454	1388
148	457	1384
149	460	1380
150	462	1376
151	465	1372
152	468	1368
153	470	1363
154	473	1360
155	476	1357
156	479	1353
157	482	1349
158	485	1345
159	487	1341
160	490	1337
161	493	1334
162	496	1330
163	498	1325
164	501	1321
165	504	1318
166	507	1314
167	510	1311
168	512	1307
169	515	1304
170	518	1300
171	521	1296
172	523	1293
173	526	1289
174	529	1285
175	532	1281
176	534	1278
177	537	1274
178	540	1270
179	543	1267
180	545	1263
181	549	1261
182	552	1259
183	555	1255
184	559	1254
185	563	1254
186	566	1251
187	569	1247
188	572	1244
189	574	1240
190	577	1236
191	580	1232
192	582	1229
193	585	1225
194	588	1222
195	591	1218
196	593	1214
197	596	1211
198	600	1209
199	604	1209
200	607	1206
201	612	1206
202	615	1203
203	618	1201
204	621	1197
205	624	1194
206	627	1191
207	630	1187
208	633	1184
209	635	1180
210	638	1177
211	641	1173
212	644	1170
213	646	1166
214	649	1163
215	652	1160
216	655	1157
217	658	1153
218	661	1150
219	664	1147
220	667	1143
221	669	1140
222	672	1137
223	675	1134
224	678	1130
225	681	1127
226	683	1123
227	686	1120
228	689	1117
229	692	1114
230	695	1111
231	698	1108
232	701	1104
233	704	1101
234	706	1097
235	709	1094
236	712	1091
237	715	1087
238	717	1084
239	720	1081
240	723	1077
241	726	1074
242	728	1070
243	731	1067
244	734	1063
245	736	1060
246	739	1057
247	742	1053
248	745	1050
249	747	1047
250	750	1043
251	753	1040
252	755	1036
253	758	1033
254	761	1030
255	764	1026
256	766	1023
257	769	1020
258	772	1016
259	774	1013
260	777	1009
261	780	1006
262	783	1004
263	786	1001
264	789	997
265	791	994
266	794	991
267	797	988
268	800	984
269	802	981
270	805	978
271	808	974
272	811	971
273	814	968
274	816	965
275	819	962
276	822	958
277	824	955
278	827	952
